date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
19:18:56	140416/140416	---MCZ	200	added ('OK')	text/html	date:Fri,%2018%20Aug%202023%2018:18:50%20GMT	https://kobobid.com/scratch_view/62e2a34e3ac3e4186a28990c/5k-scratch-and-win/	C:/My%20Web%20Sites/Luxpay%20Scratch/kobobid.com/scratch_view/62e2a34e3ac3e4186a28990c/5k-scratch-and-win/index.html	(from https://kobobid.com/scratch)
19:18:56	39139/39139	---M--	200	added ('OK')	image/png	etag:%226ad7035dfddf5f834d50849bda7eeb92%22	https://cdn.kobobid.com/web/scratch_cards/icons/5k-thumb.png?v=10.72	C:/My%20Web%20Sites/Luxpay%20Scratch/cdn.kobobid.com/web/scratch_cards/icons/5k-thumb7dba.png	(from https://kobobid.com/scratch)
19:18:56	70917/70917	---M--	200	added ('OK')	image/png	etag:%224d391ed08b7d22e3283bef1aa20b5604%22	https://cdn.kobobid.com/web/scratch_cards/icons/5k.png?v=10.72	C:/My%20Web%20Sites/Luxpay%20Scratch/cdn.kobobid.com/web/scratch_cards/icons/5k7dba.png	(from https://kobobid.com/scratch)
19:18:57	141732/141732	---MCZ	200	added ('OK')	text/html	date:Fri,%2018%20Aug%202023%2018:18:52%20GMT	https://kobobid.com/scratch_view/6356abd5fea641bdd402fd20/100k-scratch-and-win/	C:/My%20Web%20Sites/Luxpay%20Scratch/kobobid.com/scratch_view/6356abd5fea641bdd402fd20/100k-scratch-and-win/index.html	(from https://kobobid.com/scratch)
19:18:57	41466/41466	---M--	200	added ('OK')	image/png	etag:%2228cecf9467a95fbf8fa27e861022f37f%22	https://cdn.kobobid.com/web/scratch_cards/icons/100K-thumb.png?v=10.72	C:/My%20Web%20Sites/Luxpay%20Scratch/cdn.kobobid.com/web/scratch_cards/icons/100K-thumb7dba.png	(from https://kobobid.com/scratch)
19:18:58	74405/74405	---M--	200	added ('OK')	image/png	etag:%227451feba8e653026da64a87ca260b47a%22	https://cdn.kobobid.com/web/scratch_cards/icons/100K.png?v=10.72	C:/My%20Web%20Sites/Luxpay%20Scratch/cdn.kobobid.com/web/scratch_cards/icons/100K7dba.png	(from https://kobobid.com/scratch)
19:18:59	53473/53473	---MCZ	200	added ('OK')	text/html	date:Fri,%2018%20Aug%202023%2018:18:53%20GMT	https://kobobid.com/terms-of-use	C:/My%20Web%20Sites/Luxpay%20Scratch/kobobid.com/terms-of-use.html	(from https://kobobid.com/scratch)
19:18:59	33094/33094	---MCZ	200	added ('OK')	text/html	date:Fri,%2018%20Aug%202023%2018:18:54%20GMT	https://kobobid.com/privacy-policy	C:/My%20Web%20Sites/Luxpay%20Scratch/kobobid.com/privacy-policy.html	(from https://kobobid.com/scratch)
19:18:59	4385/4385	---M--	200	added ('OK')	application/javascript	etag:%2269e34350dfd5735d7833bbeaadd0bce5%22	https://cdn.kobobid.com/live/js/apps/shared/utils.min.js?v=10.72	C:/My%20Web%20Sites/Luxpay%20Scratch/cdn.kobobid.com/live/js/apps/shared/utils.min7dba.js	(from https://kobobid.com/scratch)
19:18:59	44541/44541	---M--	200	added ('OK')	image/png	etag:%222806b3feee22fe0f1deb08be10ec4ed0%22	https://cdn.kobobid.com/live/images/logo_white.png	C:/My%20Web%20Sites/Luxpay%20Scratch/cdn.kobobid.com/live/images/logo_white.png	(from https://kobobid.com/scratch)
